time,open,high,low,close,volume
2023-06-02,11280.88,11280.88,11280.88,11280.88,0
2023-06-05,11297.15,11297.15,11297.15,11297.15,0
2023-06-06,11403.59,11403.59,11403.59,11403.59,0
2023-06-07,11470.71,11470.71,11470.71,11470.71,0
2023-06-08,11390.51,11390.51,11390.51,11390.51,0
2023-06-09,11359.47,11359.47,11359.47,11359.47,0
2023-06-12,11418.98,11418.98,11418.98,11418.98,0
2023-06-13,11585.98,11585.98,11585.98,11585.98,0
2023-06-14,11673.3,11673.3,11673.3,11673.3,0
2023-06-15,11668.92,11668.92,11668.92,11668.92,0
2023-06-16,11701.93,11701.93,11701.93,11701.93,0
2023-06-19,11640.59,11640.59,11640.59,11640.59,0
2023-06-20,11659.17,11659.17,11659.17,11659.17,0
2023-06-21,11694.11,11694.11,11694.11,11694.11,0
2023-06-22,11592.44,11592.44,11592.44,11592.44,0
2023-06-23,11500.31,11500.31,11500.31,11500.31,0
2023-06-26,11536.8,11536.8,11536.8,11536.8,0
2023-06-27,11605.32,11605.32,11605.32,11605.32,0
2023-06-28,11662.16,11662.16,11662.16,11662.16,0
2023-06-30,11683.44,11683.44,11683.44,11683.44,0
2023-07-03,11809.1,11809.1,11809.1,11809.1,0
2023-07-04,11773.66,11773.66,11773.66,11773.66,0
2023-07-05,11756.83,11756.83,11756.83,11756.83,0
2023-07-06,11814.31,11814.31,11814.31,11814.31,0
2023-07-07,11662.89,11662.89,11662.89,11662.89,0
2023-07-10,11650.71,11650.71,11650.71,11650.71,0
2023-07-11,11714.06,11714.06,11714.06,11714.06,0
2023-07-12,11700.03,11700.03,11700.03,11700.03,0
2023-07-13,11664.72,11664.72,11664.72,11664.72,0
2023-07-14,11723.23,11723.23,11723.23,11723.23,0
2023-07-17,11792.27,11792.27,11792.27,11792.27,0
2023-07-18,11797.58,11797.58,11797.58,11797.58,0
2023-07-19,11907.35,11907.35,11907.35,11907.35,0
2023-07-20,11931.04,11931.04,11931.04,11931.04,0
2023-07-21,11808.65,11808.65,11808.65,11808.65,0
2023-07-24,11863.39,11863.39,11863.39,11863.39,0
2023-07-25,11882.41,11882.41,11882.41,11882.41,0
2023-07-26,11895.56,11895.56,11895.56,11895.56,0
2023-07-27,11904.92,11904.92,11904.92,11904.92,0
2023-07-28,12008.21,12008.21,12008.21,12008.21,0
2023-07-31,12094.62,12094.62,12094.62,12094.62,0
2023-08-01,12005.39,12005.39,12005.39,12005.39,0
2023-08-02,11966.1,11966.1,11966.1,11966.1,0
2023-08-03,11918.88,11918.88,11918.88,11918.88,0
2023-08-04,11992.15,11992.15,11992.15,11992.15,0
2023-08-07,12045.29,12045.29,12045.29,12045.29,0
2023-08-08,12040.61,12040.61,12040.61,12040.61,0
2023-08-09,12017.31,12017.31,12017.31,12017.31,0
2023-08-10,11890.68,11890.68,11890.68,11890.68,0
2023-08-11,11846.99,11846.99,11846.99,11846.99,0
2023-08-14,11740.03,11740.03,11740.03,11740.03,0
2023-08-16,11801.52,11801.52,11801.52,11801.52,0
2023-08-17,11808.41,11808.41,11808.41,11808.41,0
2023-08-18,11778.28,11778.28,11778.28,11778.28,0
2023-08-21,11879.41,11879.41,11879.41,11879.41,0
2023-08-22,11931.72,11931.72,11931.72,11931.72,0
2023-08-23,11942.56,11942.56,11942.56,11942.56,0
2023-08-24,11966.1,11966.1,11966.1,11966.1,0
2023-08-25,11873.83,11873.83,11873.83,11873.83,0
2023-08-28,11967.63,11967.63,11967.63,11967.63,0
