time,open,high,low,close,volume
2023-06-02,7952.58,7952.58,7952.58,7952.58,0
2023-06-05,7988.87,7988.87,7988.87,7988.87,0
2023-06-06,8035.61,8035.61,8035.61,8035.61,0
2023-06-07,8103.0,8103.0,8103.0,8103.0,0
2023-06-08,8092.87,8092.87,8092.87,8092.87,0
2023-06-09,8078.0,8078.0,8078.0,8078.0,0
2023-06-12,8091.42,8091.42,8091.42,8091.42,0
2023-06-13,8157.98,8157.98,8157.98,8157.98,0
2023-06-14,8212.27,8212.27,8212.27,8212.27,0
2023-06-15,8189.74,8189.74,8189.74,8189.74,0
2023-06-16,8233.09,8233.09,8233.09,8233.09,0
2023-06-19,8190.94,8190.94,8190.94,8190.94,0
2023-06-20,8214.8,8214.8,8214.8,8214.8,0
2023-06-21,8226.2,8226.2,8226.2,8226.2,0
2023-06-22,8178.23,8178.23,8178.23,8178.23,0
2023-06-23,8109.51,8109.51,8109.51,8109.51,0
2023-06-26,8124.37,8124.37,8124.37,8124.37,0
2023-06-27,8178.58,8178.58,8178.58,8178.58,0
2023-06-28,8238.74,8238.74,8238.74,8238.74,0
2023-06-30,8274.97,8274.97,8274.97,8274.97,0
2023-07-03,8339.07,8339.07,8339.07,8339.07,0
2023-07-04,8335.35,8335.35,8335.35,8335.35,0
2023-07-05,8339.62,8339.62,8339.62,8339.62,0
2023-07-06,8391.11,8391.11,8391.11,8391.11,0
2023-07-07,8289.43,8289.43,8289.43,8289.43,0
2023-07-10,8307.59,8307.59,8307.59,8307.59,0
2023-07-11,8341.09,8341.09,8341.09,8341.09,0
2023-07-12,8319.4,8319.4,8319.4,8319.4,0
2023-07-13,8293.86,8293.86,8293.86,8293.86,0
2023-07-14,8342.87,8342.87,8342.87,8342.87,0
2023-07-17,8396.77,8396.77,8396.77,8396.77,0
2023-07-18,8395.28,8395.28,8395.28,8395.28,0
2023-07-19,8456.46,8456.46,8456.46,8456.46,0
2023-07-20,8487.94,8487.94,8487.94,8487.94,0
2023-07-21,8473.58,8473.58,8473.58,8473.58,0
2023-07-24,8470.14,8470.14,8470.14,8470.14,0
2023-07-25,8532.8,8532.8,8532.8,8532.8,0
2023-07-26,8586.97,8586.97,8586.97,8586.97,0
2023-07-27,8562.55,8562.55,8562.55,8562.55,0
2023-07-28,8609.89,8609.89,8609.89,8609.89,0
2023-07-31,8693.51,8693.51,8693.51,8693.51,0
2023-08-01,8690.92,8690.92,8690.92,8690.92,0
2023-08-02,8571.61,8571.61,8571.61,8571.61,0
2023-08-03,8529.73,8529.73,8529.73,8529.73,0
2023-08-04,8569.23,8569.23,8569.23,8569.23,0
2023-08-07,8576.47,8576.47,8576.47,8576.47,0
2023-08-08,8575.06,8575.06,8575.06,8575.06,0
2023-08-09,8601.26,8601.26,8601.26,8601.26,0
2023-08-10,8546.95,8546.95,8546.95,8546.95,0
2023-08-11,8500.73,8500.73,8500.73,8500.73,0
2023-08-14,8440.85,8440.85,8440.85,8440.85,0
2023-08-16,8455.69,8455.69,8455.69,8455.69,0
2023-08-17,8423.13,8423.13,8423.13,8423.13,0
2023-08-18,8420.28,8420.28,8420.28,8420.28,0
2023-08-21,8502.4,8502.4,8502.4,8502.4,0
