time,open,high,low,close,volume
2023-06-02,1400.73,1400.73,1400.73,1400.73,0
2023-06-05,1405.42,1405.42,1405.42,1405.42,0
2023-06-06,1417.62,1417.62,1417.62,1417.62,0
2023-06-07,1435.6,1435.6,1435.6,1435.6,0
2023-06-08,1433.32,1433.32,1433.32,1433.32,0
2023-06-09,1440.84,1440.84,1440.84,1440.84,0
2023-06-12,1448.43,1448.43,1448.43,1448.43,0
2023-06-13,1471.6,1471.6,1471.6,1471.6,0
2023-06-14,1462.06,1462.06,1462.06,1462.06,0
2023-06-15,1468.05,1468.05,1468.05,1468.05,0
2023-06-16,1476.44,1476.44,1476.44,1476.44,0
2023-06-19,1490.81,1490.81,1490.81,1490.81,0
2023-06-20,1493.59,1493.59,1493.59,1493.59,0
2023-06-21,1496.13,1496.13,1496.13,1496.13,0
2023-06-22,1488.74,1488.74,1488.74,1488.74,0
2023-06-23,1474.97,1474.97,1474.97,1474.97,0
2023-06-26,1483.62,1483.62,1483.62,1483.62,0
2023-06-27,1499.61,1499.61,1499.61,1499.61,0
2023-06-28,1495.3,1495.3,1495.3,1495.3,0
2023-06-30,1501.43,1501.43,1501.43,1501.43,0
2023-07-03,1503.03,1503.03,1503.03,1503.03,0
2023-07-04,1498.81,1498.81,1498.81,1498.81,0
2023-07-05,1502.29,1502.29,1502.29,1502.29,0
2023-07-06,1518.34,1518.34,1518.34,1518.34,0
2023-07-07,1509.81,1509.81,1509.81,1509.81,0
2023-07-10,1506.85,1506.85,1506.85,1506.85,0
2023-07-11,1521.22,1521.22,1521.22,1521.22,0
2023-07-12,1540.17,1540.17,1540.17,1540.17,0
2023-07-13,1549.54,1549.54,1549.54,1549.54,0
2023-07-14,1566.95,1566.95,1566.95,1566.95,0
2023-07-17,1565.19,1565.19,1565.19,1565.19,0
2023-07-18,1553.31,1553.31,1553.31,1553.31,0
2023-07-19,1560.8,1560.8,1560.8,1560.8,0
2023-07-20,1568.39,1568.39,1568.39,1568.39,0
2023-07-21,1573.29,1573.29,1573.29,1573.29,0
2023-07-24,1573.67,1573.67,1573.67,1573.67,0
2023-07-25,1578.88,1578.88,1578.88,1578.88,0
2023-07-26,1578.59,1578.59,1578.59,1578.59,0
2023-07-27,1576.48,1576.48,1576.48,1576.48,0
2023-07-28,1579.52,1579.52,1579.52,1579.52,0
