time,open,high,low,close,volume
2024-11-11,8266.0,8328.0,8220.35,8256.75,0
2024-11-12,8311.05,8350.15,8175.75,8196.65,0
2024-11-13,8156.05,8203.3,7976.8,8016.05,0
2024-11-14,8027.15,8132.2,7999.95,8089.9,0
2024-11-18,8128.15,8159.4,8046.85,8112.55,0
2024-11-19,8171.65,8326.1,8155.0,8234.25,0
2024-11-21,8248.55,8305.0,8136.0,8261.9,0
2024-11-22,8281.35,8445.25,8240.2,8439.25,0
2024-11-25,8585.7,8585.7,8487.05,8518.1,0
2024-11-26,8534.0,8574.65,8494.9,8542.35,0
2024-11-27,8561.55,8601.7,8508.6,8593.6,0
2024-11-28,8610.45,8663.1,8569.65,8593.8,0
2024-11-29,8615.95,8707.2,8586.65,8670.9,0
2024-12-02,8681.85,8730.5,8631.25,8713.8,0
2024-12-03,8749.85,8799.0,8723.25,8790.05,0
2024-12-04,8807.9,8858.25,8772.95,8801.95,0
2024-12-05,8828.85,8855.6,8790.1,8844.4,0
2024-12-06,8867.25,8997.9,8854.15,8984.45,0
2024-12-09,8989.8,9107.3,8989.05,9067.45,0
2024-12-10,9056.3,9075.2,8989.5,9040.15,0
2024-12-11,9029.35,9115.5,9029.05,9092.35,0
2024-12-12,9078.05,9092.8,8988.8,9033.1,0
2024-12-13,8987.8,9081.1,8884.45,9068.5,0
2024-12-16,9073.65,9108.85,9045.55,9095.9,0
2024-12-17,9116.55,9165.2,9101.1,9124.25,0
2024-12-18,9113.25,9134.0,9036.65,9089.15,0
2024-12-19,8939.25,9101.05,8939.25,9090.85,0
2024-12-20,9112.15,9140.0,8832.05,8912.6,0
2024-12-23,8959.1,9029.85,8893.1,8988.25,0
2024-12-24,9020.7,9132.65,8946.35,9088.8,0
2024-12-26,9118.9,9150.45,9018.6,9134.9,0
2024-12-27,9171.55,9200.55,9107.95,9131.2,0
2024-12-30,9132.25,9172.1,9043.7,9137.4,0
2024-12-31,9090.6,9155.4,9005.5,9133.6,0
2025-01-01,9150.95,9234.45,9114.55,9224.8,0
2025-01-02,9251.0,9279.15,9161.8,9258.05,0
2025-01-03,9253.7,9315.8,9218.1,9236.2,0
2025-01-06,9297.95,9309.3,8964.35,9009.3,0
2025-01-07,9032.9,9124.4,9015.75,9066.2,0
2025-01-08,9075.15,9077.0,8876.25,8944.75,0
2025-01-09,8953.5,8972.15,8836.1,8847.1,0
2025-01-10,8854.95,8871.2,8653.9,8728.9,0
2025-01-13,8592.35,8615.1,8287.3,8305.3,0
2025-01-14,8326.95,8450.95,8313.85,8412.3,0
2025-01-15,8471.6,8605.95,8412.4,8547.85,0
2025-01-16,8605.55,8628.3,8532.1,8540.35,0
2025-01-17,8572.3,8616.9,8505.25,8593.95,0
2025-01-20,8637.4,8674.0,8506.4,8592.4,0
2025-01-21,8616.25,8716.25,8352.05,8365.0,0
2025-01-22,8386.05,8400.4,8208.75,8331.55,0
2025-01-23,8314.65,8452.25,8281.4,8436.05,0
2025-01-24,8451.95,8513.85,8325.05,8356.35,0
2025-01-27,8288.5,8291.45,8100.35,8124.65,0
2025-01-28,8163.25,8245.45,8000.1,8183.1,0
2025-01-29,8202.05,8361.0,8195.9,8346.8,0
2025-01-30,8376.45,8419.3,8237.15,8280.35,0
2025-01-31,8283.2,8466.45,8283.2,8452.35,0
2025-02-01,8495.9,8729.4,8316.65,8715.95,0
2025-02-03,8662.35,8801.05,8538.8,8701.7,0
2025-02-04,8706.8,8757.3,8620.95,8742.75,0
