time,open,high,low,close,volume
2023-06-02,10545.7,10559.5,10529.2,10548.2,0
2023-06-05,10592.6,10607.3,10575.2,10580.2,0
2023-06-06,10589.5,10600.5,10544.2,10590.0,0
2023-06-07,10629.4,10694.6,10622.3,10687.7,0
2023-06-08,10705.6,10720.0,10620.2,10631.2,0
2023-06-09,10653.2,10665.0,10598.6,10607.2,0
2023-06-12,10634.0,10660.1,10599.9,10651.5,0
2023-06-13,10676.5,10756.8,10676.0,10750.0,0
2023-06-14,10777.0,10781.0,10744.3,10776.0,0
2023-06-15,10792.4,10817.5,10754.8,10770.9,0
2023-06-16,10802.0,10867.8,10795.5,10850.5,0
2023-06-19,10887.0,10903.0,10823.3,10833.0,0
2023-06-20,10836.5,10885.7,10794.8,10876.1,0
2023-06-21,10921.4,10955.3,10900.5,10926.7,0
2023-06-22,10940.2,10942.1,10835.8,10850.0,0
2023-06-23,10842.8,10845.8,10737.2,10744.8,0
2023-06-26,10748.2,10811.5,10723.2,10801.8,0
2023-06-27,10837.8,10866.4,10826.5,10861.8,0
2023-06-28,10911.8,10945.0,10891.5,10931.5,0
2023-06-30,10978.0,11028.1,10965.2,11023.8,0
2023-07-03,11070.5,11085.8,11055.3,11070.6,0
2023-07-04,11114.1,11114.9,11047.3,11075.0,0
2023-07-05,11093.3,11123.0,11071.2,11114.2,0
2023-07-06,11122.2,11191.7,11115.3,11188.5,0
2023-07-07,11168.2,11199.8,11083.9,11099.2,0
2023-07-10,11134.5,11135.6,11060.8,11077.7,0
2023-07-11,11115.2,11177.6,11107.3,11146.1,0
2023-07-12,11178.7,11184.6,11141.2,11161.5,0
2023-07-13,11212.5,11238.5,11113.7,11132.7,0
2023-07-14,11180.6,11241.8,11158.5,11231.2,0
2023-07-17,11262.9,11296.8,11246.5,11290.2,0
2023-07-18,11326.2,11331.3,11246.9,11287.7,0
2023-07-19,11318.5,11350.5,11291.2,11345.7,0
2023-07-20,11359.4,11398.4,11331.7,11392.8,0
2023-07-21,11333.0,11367.3,11306.0,11321.6,0
2023-07-24,11337.5,11355.5,11289.2,11299.3,0
2023-07-25,11342.0,11344.8,11283.0,11334.5,0
2023-07-26,11370.1,11403.2,11354.7,11380.1,0
2023-07-27,11425.2,11436.4,11331.2,11363.2,0
2023-07-28,11377.8,11406.4,11352.1,11399.0,0
2023-07-31,11414.5,11503.5,11397.8,11495.2,0
2023-08-01,11525.4,11529.6,11477.3,11494.0,0
2023-08-02,11471.3,11478.0,11281.8,11360.3,0
2023-08-03,11340.8,11381.5,11270.1,11322.7,0
2023-08-04,11374.7,11417.8,11362.8,11403.8,0
2023-08-07,11438.2,11459.3,11408.0,11453.9,0
2023-08-08,11483.3,11489.8,11405.0,11461.8,0
2023-08-09,11476.3,11502.1,11417.8,11496.5,0
2023-08-10,11501.5,11513.3,11436.2,11469.5,0
2023-08-11,11501.5,11503.7,11413.1,11423.7,0
2023-08-14,11406.8,11419.5,11280.1,11400.6,0
2023-08-16,11376.0,11426.9,11339.8,11416.2,0
2023-08-17,11429.4,11447.0,11394.8,11406.8,0
2023-08-18,11395.5,11413.2,11357.2,11382.0,0
2023-08-21,11400.4,11464.4,11387.3,11453.8,0
2023-08-22,11483.5,11528.2,11477.0,11522.9,0
2023-08-23,11557.7,11582.8,11544.4,11556.1,0
2023-08-24,11620.0,11645.1,11551.5,11561.0,0
2023-08-25,11528.8,11551.0,11458.7,11479.5,0
2023-08-28,11513.1,11544.8,11484.4,11519.3,0
2023-08-29,11555.4,11565.2,11533.8,11556.5,0
2023-08-30,11610.1,11635.0,11593.9,11600.4,0
2023-08-31,11627.9,11638.3,11560.0,11587.0,0
2023-09-01,11599.9,11694.1,11587.3,11686.3,0
2023-09-04,11741.3,11774.7,11686.3,11767.3,0
2023-09-05,11804.8,11855.6,11767.3,11848.8,0
2023-09-06,11870.7,11874.4,11816.0,11863.7,0
2023-09-07,11874.8,11942.5,11860.2,11935.6,0
2023-09-08,11971.0,12035.2,11935.6,12022.3,0
2023-09-11,12081.4,12147.2,12070.8,12142.2,0
2023-09-12,12212.8,12213.0,11924.0,11933.0,0
2023-09-13,11928.9,11969.5,11829.4,11961.5,0
2023-09-14,12012.0,12057.0,11989.0,12033.2,0
2023-09-15,12080.1,12089.7,12037.2,12064.8,0
2023-09-18,12072.1,12073.3,12020.7,12027.4,0
2023-09-20,11969.2,12010.6,11920.9,11943.7,0
2023-09-21,11919.8,11942.7,11822.9,11844.5,0
2023-09-22,11855.2,11890.4,11783.0,11820.8,0
2023-09-25,11834.3,11866.5,11766.3,11851.5,0
2023-09-26,11860.0,11878.0,11830.7,11847.5,0
2023-09-27,11853.0,11916.0,11828.3,11908.2,0
2023-09-28,11936.5,11938.5,11764.2,11778.3,0
2023-09-29,11819.4,11918.2,11798.5,11877.5,0
2023-10-03,11881.5,11883.5,11826.8,11867.6,0
2023-10-04,11831.7,11834.7,11687.6,11755.3,0
2023-10-05,11808.5,11834.3,11765.5,11781.8,0
2023-10-06,11828.6,11859.8,11807.4,11849.2,0
2023-10-09,11758.3,11783.1,11705.0,11722.6,0
2023-10-10,11765.0,11862.5,11765.0,11852.2,0
2023-10-11,11910.7,11959.4,11908.2,11918.0,0
2023-10-12,11947.7,11961.0,11920.0,11929.8,0
2023-10-13,11872.8,11942.0,11860.8,11912.2,0
2023-10-16,11917.9,11943.9,11891.5,11919.2,0
2023-10-17,11983.2,11989.5,11949.5,11969.2,0
2023-10-18,11982.0,11985.6,11870.5,11881.8,0
2023-10-19,11824.9,11876.6,11780.8,11859.7,0
2023-10-20,11829.5,11849.0,11755.5,11774.6,0
2023-10-23,11773.3,11785.0,11506.7,11530.2,0
2023-10-25,11552.2,11585.6,11375.8,11449.3,0
2023-10-26,11389.8,11396.7,11231.0,11307.7,0
2023-10-27,11368.2,11475.8,11367.6,11454.8,0
2023-10-30,11471.7,11495.0,11377.2,11488.2,0
2023-10-31,11545.7,11550.3,11477.5,11487.5,0
2023-11-01,11500.4,11509.5,11442.0,11451.0,0
2023-11-02,11527.9,11575.8,11525.2,11569.2,0
2023-11-03,11639.5,11659.7,11626.3,11643.4,0
2023-11-06,11715.5,11755.5,11698.7,11750.0,0
2023-11-07,11763.0,11778.8,11729.8,11771.2,0
2023-11-08,11816.4,11850.0,11803.0,11844.2,0
2023-11-09,11864.0,11871.0,11822.2,11828.8,0
2023-11-10,11813.6,11870.8,11775.2,11860.4,0
2023-11-12,11947.2,11952.2,11920.4,11929.8,0
2023-11-13,11913.5,11916.0,11875.0,11906.4,0
2023-11-15,12019.4,12031.3,11989.6,12025.9,0
2023-11-16,12037.0,12137.0,12019.8,12094.8,0
2023-11-17,12065.3,12135.7,12057.3,12112.1,0
2023-11-20,12130.7,12145.0,12086.0,12100.6,0
2023-11-21,12147.8,12153.2,12118.2,12125.6,0
2023-11-22,12138.0,12151.7,12065.6,12141.5,0
2023-11-23,12168.2,12184.4,12140.7,12147.8,0
2023-11-24,12166.3,12180.7,12147.5,12158.2,0
2023-11-28,12198.8,12228.7,12169.2,12220.3,0
2023-11-29,12281.8,12327.2,12278.5,12321.2,0
2023-11-30,12340.0,12402.3,12283.1,12389.8,0
2023-12-01,12443.6,12503.8,12437.6,12487.4,0
2023-12-04,12693.8,12700.9,12609.3,12691.7,0
2023-12-05,12750.0,12778.9,12671.3,12773.7,0
2023-12-06,12832.1,12848.8,12760.6,12821.2,0
2023-12-07,12836.0,12867.8,12778.0,12857.7,0
2023-12-08,12893.8,12916.0,12767.3,12854.5,0
2023-12-11,12878.1,12920.8,12867.7,12915.2,0
2023-12-12,12948.4,12955.6,12810.2,12856.4,0
2023-12-13,12886.5,12937.1,12811.2,12923.7,0
2023-12-14,13025.4,13091.1,13014.2,13076.2,0
2023-12-15,13145.2,13170.8,13105.3,13160.3,0
2023-12-18,13166.8,13203.5,13106.0,13177.9,0
2023-12-19,13214.0,13215.1,13099.0,13163.3,0
2023-12-20,13229.0,13261.9,12819.2,12853.9,0
2023-12-21,12758.0,13004.0,12699.2,12987.9,0
2023-12-22,13045.4,13100.3,12988.2,13072.2,0
2023-12-26,13108.6,13162.0,13078.7,13142.0,0
2023-12-27,13196.2,13241.4,13159.9,13227.7,0
2023-12-28,13269.5,13304.0,13232.8,13294.8,0
2023-12-29,13301.5,13361.8,13264.5,13347.0,0
2024-01-01,13372.7,13437.8,13351.2,13389.8,0
2024-01-02,13412.2,13415.1,13243.7,13358.5,0
2024-01-03,13373.5,13382.2,13307.5,13346.3,0
2024-01-04,13404.2,13506.8,13397.1,13495.2,0
2024-01-05,13543.6,13572.1,13453.5,13529.3,0
2024-01-08,13562.2,13567.2,13397.1,13409.0,0
2024-01-09,13501.0,13525.2,13420.0,13434.8,0
