time,open,high,low,close,volume
2023-06-02,16886.57,16886.57,16886.57,16886.57,0
2023-06-05,16889.34,16889.34,16889.34,16889.34,0
2023-06-06,16922.82,16922.82,16922.82,16922.82,0
2023-06-07,17097.02,17097.02,17097.02,17097.02,0
2023-06-08,17002.5,17002.5,17002.5,17002.5,0
2023-06-09,16896.29,16896.29,16896.29,16896.29,0
2023-06-12,16966.54,16966.54,16966.54,16966.54,0
2023-06-13,17092.78,17092.78,17092.78,17092.78,0
2023-06-14,17160.68,17160.68,17160.68,17160.68,0
2023-06-15,17171.57,17171.57,17171.57,17171.57,0
2023-06-16,17274.44,17274.44,17274.44,17274.44,0
2023-06-19,17214.8,17214.8,17214.8,17214.8,0
2023-06-20,17335.12,17335.12,17335.12,17335.12,0
2023-06-21,17377.76,17377.76,17377.76,17377.76,0
2023-06-22,17243.63,17243.63,17243.63,17243.63,0
2023-06-23,17184.74,17184.74,17184.74,17184.74,0
2023-06-26,17252.52,17252.52,17252.52,17252.52,0
2023-06-27,17342.04,17342.04,17342.04,17342.04,0
2023-06-28,17431.32,17431.32,17431.32,17431.32,0
2023-06-30,17622.42,17622.42,17622.42,17622.42,0
2023-07-03,17623.47,17623.47,17623.47,17623.47,0
2023-07-04,17642.3,17642.3,17642.3,17642.3,0
2023-07-05,17818.3,17818.3,17818.3,17818.3,0
2023-07-06,17907.88,17907.88,17907.88,17907.88,0
2023-07-07,17729.31,17729.31,17729.31,17729.31,0
2023-07-10,17691.38,17691.38,17691.38,17691.38,0
2023-07-11,17841.69,17841.69,17841.69,17841.69,0
2023-07-12,17838.83,17838.83,17838.83,17838.83,0
2023-07-13,17771.86,17771.86,17771.86,17771.86,0
2023-07-14,17924.16,17924.16,17924.16,17924.16,0
2023-07-17,17981.73,17981.73,17981.73,17981.73,0
2023-07-18,17981.36,17981.36,17981.36,17981.36,0
2023-07-19,18031.53,18031.53,18031.53,18031.53,0
2023-07-20,18155.42,18155.42,18155.42,18155.42,0
2023-07-21,18033.75,18033.75,18033.75,18033.75,0
2023-07-24,18040.46,18040.46,18040.46,18040.46,0
2023-07-25,18040.7,18040.7,18040.7,18040.7,0
2023-07-26,18133.35,18133.35,18133.35,18133.35,0
2023-07-27,18192.13,18192.13,18192.13,18192.13,0
2023-07-28,18289.96,18289.96,18289.96,18289.96,0
2023-07-31,18363.11,18363.11,18363.11,18363.11,0
2023-08-01,18385.25,18385.25,18385.25,18385.25,0
2023-08-02,18238.64,18238.64,18238.64,18238.64,0
