time,open,high,low,close,volume
2023-06-02,9240.49,9240.49,9240.49,9240.49,0
2023-06-05,9226.15,9226.15,9226.15,9226.15,0
2023-06-06,9227.53,9227.53,9227.53,9227.53,0
2023-06-07,9310.01,9310.01,9310.01,9310.01,0
2023-06-08,9267.44,9267.44,9267.44,9267.44,0
2023-06-09,9246.45,9246.45,9246.45,9246.45,0
2023-06-12,9331.94,9331.94,9331.94,9331.94,0
2023-06-13,9399.03,9399.03,9399.03,9399.03,0
2023-06-14,9359.99,9359.99,9359.99,9359.99,0
2023-06-15,9360.23,9360.23,9360.23,9360.23,0
2023-06-16,9493.87,9493.87,9493.87,9493.87,0
2023-06-19,9533.51,9533.51,9533.51,9533.51,0
2023-06-20,9660.98,9660.98,9660.98,9660.98,0
2023-06-21,9818.2,9818.2,9818.2,9818.2,0
2023-06-22,9664.8,9664.8,9664.8,9664.8,0
2023-06-23,9526.44,9526.44,9526.44,9526.44,0
2023-06-26,9616.28,9616.28,9616.28,9616.28,0
2023-06-27,9763.09,9763.09,9763.09,9763.09,0
2023-06-28,9839.19,9839.19,9839.19,9839.19,0
2023-06-30,9929.14,9929.14,9929.14,9929.14,0
2023-07-03,10043.97,10043.97,10043.97,10043.97,0
2023-07-04,10083.72,10083.72,10083.72,10083.72,0
2023-07-05,10179.76,10179.76,10179.76,10179.76,0
2023-07-06,10245.58,10245.58,10245.58,10245.58,0
2023-07-07,10112.56,10112.56,10112.56,10112.56,0
2023-07-10,10088.46,10088.46,10088.46,10088.46,0
2023-07-11,10163.24,10163.24,10163.24,10163.24,0
2023-07-12,10265.26,10265.26,10265.26,10265.26,0
2023-07-13,10116.37,10116.37,10116.37,10116.37,0
2023-07-14,10218.09,10218.09,10218.09,10218.09,0
2023-07-17,10243.83,10243.83,10243.83,10243.83,0
2023-07-18,10188.56,10188.56,10188.56,10188.56,0
2023-07-19,10242.97,10242.97,10242.97,10242.97,0
2023-07-20,10278.27,10278.27,10278.27,10278.27,0
2023-07-21,10306.3,10306.3,10306.3,10306.3,0
2023-07-24,10293.56,10293.56,10293.56,10293.56,0
2023-07-25,10249.72,10249.72,10249.72,10249.72,0
2023-07-26,10371.49,10371.49,10371.49,10371.49,0
2023-07-27,10379.25,10379.25,10379.25,10379.25,0
2023-07-28,10427.73,10427.73,10427.73,10427.73,0
2023-07-31,10560.98,10560.98,10560.98,10560.98,0
2023-08-01,10540.39,10540.39,10540.39,10540.39,0
2023-08-02,10375.0,10375.0,10375.0,10375.0,0
2023-08-03,10356.51,10356.51,10356.51,10356.51,0
2023-08-04,10457.7,10457.7,10457.7,10457.7,0
2023-08-07,10583.46,10583.46,10583.46,10583.46,0
2023-08-08,10633.14,10633.14,10633.14,10633.14,0
2023-08-09,10608.03,10608.03,10608.03,10608.03,0
2023-08-10,10587.83,10587.83,10587.83,10587.83,0
2023-08-11,10562.18,10562.18,10562.18,10562.18,0
2023-08-14,10539.55,10539.55,10539.55,10539.55,0
2023-08-16,10501.41,10501.41,10501.41,10501.41,0
2023-08-17,10605.42,10605.42,10605.42,10605.42,0
2023-08-18,10572.73,10572.73,10572.73,10572.73,0
2023-08-21,10625.29,10625.29,10625.29,10625.29,0
2023-08-22,10738.68,10738.68,10738.68,10738.68,0
