time,open,high,low,close,volume
2023-06-02,7103.27,7103.27,7103.27,7103.27,0
2023-06-05,7088.4,7088.4,7088.4,7088.4,0
2023-06-06,6982.11,6982.11,6982.11,6982.11,0
2023-06-07,7087.76,7087.76,7087.76,7087.76,0
2023-06-08,7035.23,7035.23,7035.23,7035.23,0
2023-06-09,7075.21,7075.21,7075.21,7075.21,0
2023-06-12,7164.47,7164.47,7164.47,7164.47,0
2023-06-13,7272.5,7272.5,7272.5,7272.5,0
2023-06-14,7250.43,7250.43,7250.43,7250.43,0
2023-06-15,7254.61,7254.61,7254.61,7254.61,0
2023-06-16,7247.55,7247.55,7247.55,7247.55,0
2023-06-19,7237.3,7237.3,7237.3,7237.3,0
2023-06-20,7295.08,7295.08,7295.08,7295.08,0
2023-06-21,7313.66,7313.66,7313.66,7313.66,0
2023-06-22,7220.57,7220.57,7220.57,7220.57,0
2023-06-23,7113.35,7113.35,7113.35,7113.35,0
2023-06-26,7166.04,7166.04,7166.04,7166.04,0
2023-06-27,7200.37,7200.37,7200.37,7200.37,0
2023-06-28,7223.22,7223.22,7223.22,7223.22,0
2023-06-30,7293.14,7293.14,7293.14,7293.14,0
2023-07-03,7248.92,7248.92,7248.92,7248.92,0
2023-07-04,7231.74,7231.74,7231.74,7231.74,0
2023-07-05,7244.84,7244.84,7244.84,7244.84,0
2023-07-06,7273.97,7273.97,7273.97,7273.97,0
2023-07-07,7217.26,7217.26,7217.26,7217.26,0
2023-07-10,7110.24,7110.24,7110.24,7110.24,0
2023-07-11,7201.31,7201.31,7201.31,7201.31,0
2023-07-12,7165.28,7165.28,7165.28,7165.28,0
2023-07-13,7236.17,7236.17,7236.17,7236.17,0
2023-07-14,7478.08,7478.08,7478.08,7478.08,0
2023-07-17,7510.53,7510.53,7510.53,7510.53,0
2023-07-18,7449.62,7449.62,7449.62,7449.62,0
2023-07-19,7549.04,7549.04,7549.04,7549.04,0
2023-07-20,7489.41,7489.41,7489.41,7489.41,0
2023-07-21,7408.35,7408.35,7408.35,7408.35,0
2023-07-24,7420.45,7420.45,7420.45,7420.45,0
2023-07-25,7377.32,7377.32,7377.32,7377.32,0
2023-07-26,7418.66,7418.66,7418.66,7418.66,0
2023-07-27,7451.76,7451.76,7451.76,7451.76,0
2023-07-28,7495.93,7495.93,7495.93,7495.93,0
2023-07-31,7533.62,7533.62,7533.62,7533.62,0
2023-08-01,7583.43,7583.43,7583.43,7583.43,0
2023-08-02,7492.25,7492.25,7492.25,7492.25,0
2023-08-03,7475.47,7475.47,7475.47,7475.47,0
2023-08-04,7597.03,7597.03,7597.03,7597.03,0
2023-08-07,7703.92,7703.92,7703.92,7703.92,0
2023-08-08,7673.42,7673.42,7673.42,7673.42,0
2023-08-09,7703.69,7703.69,7703.69,7703.69,0
2023-08-10,7659.14,7659.14,7659.14,7659.14,0
2023-08-11,7666.71,7666.71,7666.71,7666.71,0
2023-08-14,7678.67,7678.67,7678.67,7678.67,0
2023-08-16,7672.42,7672.42,7672.42,7672.42,0
2023-08-17,7662.48,7662.48,7662.48,7662.48,0
2023-08-18,7577.44,7577.44,7577.44,7577.44,0
