time,open,high,low,close,volume
2023-06-02,11473.6,11473.6,11473.6,11473.6,0
2023-06-05,11500.56,11500.56,11500.56,11500.56,0
2023-06-06,11542.63,11542.63,11542.63,11542.63,0
2023-06-07,11747.34,11747.34,11747.34,11747.34,0
2023-06-08,11634.63,11634.63,11634.63,11634.63,0
2023-06-09,11621.13,11621.13,11621.13,11621.13,0
2023-06-12,11673.46,11673.46,11673.46,11673.46,0
2023-06-13,11883.41,11883.41,11883.41,11883.41,0
2023-06-14,11951.9,11951.9,11951.9,11951.9,0
2023-06-15,11985.89,11985.89,11985.89,11985.89,0
2023-06-16,12078.93,12078.93,12078.93,12078.93,0
2023-06-19,12065.14,12065.14,12065.14,12065.14,0
2023-06-20,12012.33,12012.33,12012.33,12012.33,0
2023-06-21,12036.27,12036.27,12036.27,12036.27,0
2023-06-22,11922.03,11922.03,11922.03,11922.03,0
2023-06-23,11810.76,11810.76,11810.76,11810.76,0
2023-06-26,11928.89,11928.89,11928.89,11928.89,0
2023-06-27,11982.35,11982.35,11982.35,11982.35,0
2023-06-28,12041.38,12041.38,12041.38,12041.38,0
2023-06-30,12071.99,12071.99,12071.99,12071.99,0
2023-07-03,12088.46,12088.46,12088.46,12088.46,0
2023-07-04,12020.72,12020.72,12020.72,12020.72,0
2023-07-05,12065.45,12065.45,12065.45,12065.45,0
2023-07-06,12225.81,12225.81,12225.81,12225.81,0
2023-07-07,12178.62,12178.62,12178.62,12178.62,0
2023-07-10,12106.59,12106.59,12106.59,12106.59,0
2023-07-11,12237.33,12237.33,12237.33,12237.33,0
2023-07-12,12244.79,12244.79,12244.79,12244.79,0
2023-07-13,12180.68,12180.68,12180.68,12180.68,0
2023-07-14,12293.83,12293.83,12293.83,12293.83,0
2023-07-17,12383.29,12383.29,12383.29,12383.29,0
2023-07-18,12333.79,12333.79,12333.79,12333.79,0
2023-07-19,12434.65,12434.65,12434.65,12434.65,0
2023-07-20,12442.49,12442.49,12442.49,12442.49,0
2023-07-21,12418.26,12418.26,12418.26,12418.26,0
2023-07-24,12403.33,12403.33,12403.33,12403.33,0
2023-07-25,12538.81,12538.81,12538.81,12538.81,0
2023-07-26,12545.85,12545.85,12545.85,12545.85,0
2023-07-27,12588.81,12588.81,12588.81,12588.81,0
2023-07-28,12733.11,12733.11,12733.11,12733.11,0
2023-07-31,12820.37,12820.37,12820.37,12820.37,0
2023-08-01,12765.91,12765.91,12765.91,12765.91,0
2023-08-02,12633.99,12633.99,12633.99,12633.99,0
2023-08-03,12618.93,12618.93,12618.93,12618.93,0
2023-08-04,12674.1,12674.1,12674.1,12674.1,0
2023-08-07,12750.63,12750.63,12750.63,12750.63,0
2023-08-08,12724.84,12724.84,12724.84,12724.84,0
2023-08-09,12790.17,12790.17,12790.17,12790.17,0
2023-08-10,12839.2,12839.2,12839.2,12839.2,0
2023-08-11,12720.92,12720.92,12720.92,12720.92,0
2023-08-14,12693.63,12693.63,12693.63,12693.63,0
2023-08-16,12732.7,12732.7,12732.7,12732.7,0
2023-08-17,12765.77,12765.77,12765.77,12765.77,0
2023-08-18,12722.67,12722.67,12722.67,12722.67,0
2023-08-21,12828.48,12828.48,12828.48,12828.48,0
2023-08-22,12959.04,12959.04,12959.04,12959.04,0
2023-08-23,13030.27,13030.27,13030.27,13030.27,0
2023-08-24,12976.63,12976.63,12976.63,12976.63,0
2023-08-25,12805.32,12805.32,12805.32,12805.32,0
2023-08-28,12851.89,12851.89,12851.89,12851.89,0
2023-08-29,12930.35,12930.35,12930.35,12930.35,0
2023-08-30,13099.47,13099.47,13099.47,13099.47,0
2023-08-31,13124.65,13124.65,13124.65,13124.65,0
2023-09-01,13150.66,13150.66,13150.66,13150.66,0
2023-09-04,13175.22,13175.22,13175.22,13175.22,0
2023-09-05,13369.4,13369.4,13369.4,13369.4,0
2023-09-06,13425.88,13425.88,13425.88,13425.88,0
2023-09-07,13515.62,13515.62,13515.62,13515.62,0
2023-09-08,13568.32,13568.32,13568.32,13568.32,0
2023-09-11,13658.39,13658.39,13658.39,13658.39,0
2023-09-12,13415.53,13415.53,13415.53,13415.53,0
2023-09-13,13336.02,13336.02,13336.02,13336.02,0
2023-09-14,13398.84,13398.84,13398.84,13398.84,0
2023-09-15,13411.05,13411.05,13411.05,13411.05,0
2023-09-18,13341.56,13341.56,13341.56,13341.56,0
2023-09-20,13257.87,13257.87,13257.87,13257.87,0
2023-09-21,13145.1,13145.1,13145.1,13145.1,0
2023-09-22,13035.36,13035.36,13035.36,13035.36,0
2023-09-25,13173.94,13173.94,13173.94,13173.94,0
2023-09-26,13240.93,13240.93,13240.93,13240.93,0
2023-09-27,13305.46,13305.46,13305.46,13305.46,0
2023-09-28,13166.9,13166.9,13166.9,13166.9,0
2023-09-29,13294.37,13294.37,13294.37,13294.37,0
2023-10-03,13350.1,13350.1,13350.1,13350.1,0
2023-10-04,13152.91,13152.91,13152.91,13152.91,0
2023-10-05,13135.11,13135.11,13135.11,13135.11,0
2023-10-06,13251.14,13251.14,13251.14,13251.14,0
2023-10-09,13155.76,13155.76,13155.76,13155.76,0
2023-10-10,13257.91,13257.91,13257.91,13257.91,0
2023-10-11,13353.68,13353.68,13353.68,13353.68,0
2023-10-12,13434.32,13434.32,13434.32,13434.32,0
2023-10-13,13403.38,13403.38,13403.38,13403.38,0
2023-10-16,13365.04,13365.04,13365.04,13365.04,0
2023-10-17,13389.14,13389.14,13389.14,13389.14,0
2023-10-18,13325.86,13325.86,13325.86,13325.86,0
2023-10-19,13315.9,13315.9,13315.9,13315.9,0
2023-10-20,13199.09,13199.09,13199.09,13199.09,0
2023-10-23,12970.38,12970.38,12970.38,12970.38,0
2023-10-25,12885.44,12885.44,12885.44,12885.44,0
2023-10-26,12689.52,12689.52,12689.52,12689.52,0
2023-10-27,12887.62,12887.62,12887.62,12887.62,0
2023-10-30,12929.97,12929.97,12929.97,12929.97,0
2023-10-31,12997.95,12997.95,12997.95,12997.95,0
2023-11-01,13051.85,13051.85,13051.85,13051.85,0
