time,open,high,low,close,volume
2023-06-02,4795.55,4807.95,4786.05,4798.7,0
2023-06-05,4816.85,4842.3,4810.9,4818.8,0
2023-06-06,4827.5,4842.5,4807.05,4834.1,0
2023-06-07,4852.25,4901.25,4847.6,4892.4,0
2023-06-08,4904.35,4949.75,4898.3,4904.1,0
2023-06-09,4931.7,4939.25,4891.95,4932.2,0
2023-06-12,4942.3,4968.65,4926.85,4962.1,0
2023-06-13,4978.05,4989.45,4969.6,4976.65,0
2023-06-14,4987.15,5016.4,4984.95,5006.9,0
2023-06-15,5009.9,5011.8,4990.35,5002.6,0
2023-06-16,5011.35,5050.6,4997.1,5034.3,0
2023-06-19,5047.55,5051.7,5011.0,5021.4,0
2023-06-20,5023.1,5056.3,4999.15,5047.8,0
2023-06-21,5058.7,5089.45,5051.75,5084.85,0
2023-06-22,5085.35,5090.55,5014.95,5027.7,0
2023-06-23,5027.4,5031.85,4957.95,4963.7,0
2023-06-26,4971.4,4983.9,4940.25,4957.75,0
2023-06-27,4977.3,4987.05,4962.3,4970.1,0
2023-06-28,4985.75,5035.85,4967.25,5024.2,0
2023-06-30,5058.25,5086.15,5039.85,5081.6,0
2023-07-03,5096.1,5136.6,5078.3,5113.85,0
2023-07-04,5129.95,5130.9,5084.15,5104.45,0
2023-07-05,5113.3,5152.4,5098.0,5148.0,0
2023-07-06,5169.6,5247.6,5149.4,5242.55,0
2023-07-07,5235.4,5265.6,5175.15,5191.35,0
2023-07-10,5206.45,5210.2,5130.15,5155.25,0
2023-07-11,5176.2,5221.05,5161.05,5214.1,0
2023-07-12,5234.0,5247.05,5208.0,5211.75,0
2023-07-13,5229.65,5230.2,5116.85,5132.2,0
2023-07-14,5145.1,5152.1,5102.85,5144.25,0
2023-07-17,5158.85,5172.55,5134.8,5137.45,0
2023-07-18,5146.8,5172.1,5117.65,5132.1,0
2023-07-19,5154.65,5207.05,5141.4,5181.2,0
2023-07-20,5190.6,5208.15,5179.15,5194.7,0
2023-07-21,5190.8,5231.75,5179.1,5212.15,0
2023-07-24,5228.35,5284.8,5222.35,5267.8,0
2023-07-25,5290.55,5309.2,5278.15,5305.3,0
2023-07-26,5330.3,5334.2,5312.85,5320.85,0
2023-07-27,5340.35,5353.95,5313.15,5329.35,0
2023-07-28,5343.1,5414.0,5312.7,5399.55,0
2023-07-31,5438.7,5516.5,5409.1,5511.05,0
2023-08-01,5506.7,5531.95,5472.25,5512.15,0
2023-08-02,5516.95,5518.55,5349.05,5395.2,0
