time,open,high,low,close,volume
2023-06-02,485.2,492.5,484.6,490.85,0
2023-06-05,492.9,494.0,488.5,492.55,0
2023-06-06,493.75,499.5,492.85,498.4,0
2023-06-07,500.1,507.25,496.95,506.3,0
2023-06-08,506.7,507.4,497.05,498.25,0
2023-06-09,499.05,504.35,496.45,498.45,0
2023-06-12,500.7,506.05,500.55,505.5,0
2023-06-13,507.3,522.45,505.65,520.7,0
2023-06-14,522.45,525.8,517.65,522.15,0
2023-06-15,522.75,527.15,516.8,518.2,0
2023-06-16,520.1,524.1,516.05,517.1,0
2023-06-19,518.2,520.75,511.15,513.35,0
2023-06-20,513.25,518.25,510.05,515.85,0
2023-06-21,517.1,522.0,511.0,514.15,0
2023-06-22,515.1,515.95,508.75,510.05,0
2023-06-23,510.5,510.85,504.5,506.9,0
2023-06-26,507.25,509.35,502.95,508.55,0
2023-06-27,511.15,516.1,510.75,514.85,0
2023-06-28,517.1,518.3,514.25,517.25,0
2023-06-30,519.4,522.55,518.15,520.0,0
2023-07-03,519.65,525.5,518.5,523.9,0
2023-07-04,525.65,528.5,521.6,522.95,0
2023-07-05,524.1,527.8,518.4,525.9,0
2023-07-06,529.2,541.5,528.8,537.75,0
2023-07-07,538.9,542.35,529.9,531.4,0
2023-07-10,532.85,533.1,525.1,526.9,0
2023-07-11,527.6,529.7,525.9,526.85,0
2023-07-12,528.45,529.7,522.05,528.2,0
2023-07-13,530.35,541.1,528.95,533.6,0
2023-07-14,536.15,541.45,535.75,539.8,0
2023-07-17,540.9,541.7,537.25,539.65,0
2023-07-18,541.3,542.9,533.55,535.05,0
2023-07-19,536.2,539.5,535.4,536.15,0
2023-07-20,537.45,539.4,534.2,536.3,0
2023-07-21,533.95,538.9,531.3,536.1,0
2023-07-24,537.15,542.7,534.0,537.15,0
2023-07-25,539.25,542.65,533.55,535.0,0
2023-07-26,536.7,542.2,536.05,541.35,0
2023-07-27,543.35,554.05,542.7,552.85,0
2023-07-28,549.8,564.25,548.85,562.95,0
2023-07-31,563.9,568.8,563.05,566.75,0
2023-08-01,565.1,565.1,555.05,556.7,0
2023-08-02,553.5,561.65,541.65,548.4,0
2023-08-03,548.35,548.5,535.0,538.65,0
2023-08-04,540.75,542.5,536.95,539.15,0
2023-08-07,539.45,543.45,538.7,542.3,0
2023-08-08,543.5,546.3,538.1,541.35,0
2023-08-09,542.6,544.1,533.15,534.65,0
2023-08-10,537.4,537.95,530.4,533.25,0
2023-08-11,535.4,536.6,529.55,531.15,0
2023-08-14,530.6,530.65,520.8,527.65,0
2023-08-16,527.6,534.75,525.1,533.45,0
2023-08-17,534.0,537.0,531.8,534.1,0
2023-08-18,533.4,533.5,528.55,530.2,0
