time,open,high,low,close,volume
2023-06-02,16956.93,16956.93,16956.93,16956.93,0
2023-06-05,16948.01,16948.01,16948.01,16948.01,0
2023-06-06,16968.22,16968.22,16968.22,16968.22,0
2023-06-07,17084.69,17084.69,17084.69,17084.69,0
2023-06-08,17035.91,17035.91,17035.91,17035.91,0
2023-06-09,17002.86,17002.86,17002.86,17002.86,0
2023-06-12,17065.04,17065.04,17065.04,17065.04,0
2023-06-13,17138.01,17138.01,17138.01,17138.01,0
2023-06-14,17220.12,17220.12,17220.12,17220.12,0
2023-06-15,17243.09,17243.09,17243.09,17243.09,0
2023-06-16,17413.81,17413.81,17413.81,17413.81,0
2023-06-19,17469.85,17469.85,17469.85,17469.85,0
2023-06-20,17544.19,17544.19,17544.19,17544.19,0
2023-06-21,17559.68,17559.68,17559.68,17559.68,0
2023-06-22,17487.12,17487.12,17487.12,17487.12,0
2023-06-23,17247.53,17247.53,17247.53,17247.53,0
2023-06-26,17332.84,17332.84,17332.84,17332.84,0
2023-06-27,17410.41,17410.41,17410.41,17410.41,0
2023-06-28,17453.05,17453.05,17453.05,17453.05,0
2023-06-30,17546.3,17546.3,17546.3,17546.3,0
2023-07-03,17648.0,17648.0,17648.0,17648.0,0
2023-07-04,17613.61,17613.61,17613.61,17613.61,0
2023-07-05,17707.32,17707.32,17707.32,17707.32,0
2023-07-06,17788.01,17788.01,17788.01,17788.01,0
2023-07-07,17729.89,17729.89,17729.89,17729.89,0
2023-07-10,17680.69,17680.69,17680.69,17680.69,0
2023-07-11,17887.98,17887.98,17887.98,17887.98,0
2023-07-12,17985.78,17985.78,17985.78,17985.78,0
2023-07-13,17860.04,17860.04,17860.04,17860.04,0
2023-07-14,18088.37,18088.37,18088.37,18088.37,0
2023-07-17,18268.03,18268.03,18268.03,18268.03,0
2023-07-18,18165.44,18165.44,18165.44,18165.44,0
2023-07-19,18352.91,18352.91,18352.91,18352.91,0
2023-07-20,18319.75,18319.75,18319.75,18319.75,0
2023-07-21,18336.21,18336.21,18336.21,18336.21,0
2023-07-24,18415.12,18415.12,18415.12,18415.12,0
2023-07-25,18466.87,18466.87,18466.87,18466.87,0
2023-07-26,18454.45,18454.45,18454.45,18454.45,0
2023-07-27,18470.47,18470.47,18470.47,18470.47,0
2023-07-28,18548.89,18548.89,18548.89,18548.89,0
2023-07-31,18725.66,18725.66,18725.66,18725.66,0
2023-08-01,18792.02,18792.02,18792.02,18792.02,0
2023-08-02,18537.9,18537.9,18537.9,18537.9,0
2023-08-03,18535.32,18535.32,18535.32,18535.32,0
2023-08-04,18623.13,18623.13,18623.13,18623.13,0
2023-08-07,18613.34,18613.34,18613.34,18613.34,0
2023-08-08,18665.27,18665.27,18665.27,18665.27,0
2023-08-09,18762.19,18762.19,18762.19,18762.19,0
2023-08-10,18742.96,18742.96,18742.96,18742.96,0
2023-08-11,18618.99,18618.99,18618.99,18618.99,0
2023-08-14,18435.23,18435.23,18435.23,18435.23,0
2023-08-16,18416.61,18416.61,18416.61,18416.61,0
2023-08-17,18431.94,18431.94,18431.94,18431.94,0
2023-08-18,18439.28,18439.28,18439.28,18439.28,0
2023-08-21,18578.6,18578.6,18578.6,18578.6,0
2023-08-22,18627.0,18627.0,18627.0,18627.0,0
2023-08-23,18743.88,18743.88,18743.88,18743.88,0
2023-08-24,18750.75,18750.75,18750.75,18750.75,0
2023-08-25,18725.1,18725.1,18725.1,18725.1,0
2023-08-28,18827.67,18827.67,18827.67,18827.67,0
2023-08-29,19028.78,19028.78,19028.78,19028.78,0
2023-08-30,19139.56,19139.56,19139.56,19139.56,0
2023-08-31,19279.76,19279.76,19279.76,19279.76,0
2023-09-01,19410.83,19410.83,19410.83,19410.83,0
2023-09-04,19667.72,19667.72,19667.72,19667.72,0
2023-09-05,19947.32,19947.32,19947.32,19947.32,0
2023-09-06,19973.0,19973.0,19973.0,19973.0,0
2023-09-07,20082.8,20082.8,20082.8,20082.8,0
2023-09-08,20187.08,20187.08,20187.08,20187.08,0
2023-09-11,20416.78,20416.78,20416.78,20416.78,0
2023-09-12,19614.61,19614.61,19614.61,19614.61,0
2023-09-13,19696.36,19696.36,19696.36,19696.36,0
2023-09-14,19870.0,19870.0,19870.0,19870.0,0
2023-09-15,19836.45,19836.45,19836.45,19836.45,0
2023-09-18,19711.28,19711.28,19711.28,19711.28,0
2023-09-20,19542.9,19542.9,19542.9,19542.9,0
2023-09-21,19387.07,19387.07,19387.07,19387.07,0
2023-09-22,19264.65,19264.65,19264.65,19264.65,0
2023-09-25,19354.75,19354.75,19354.75,19354.75,0
2023-09-26,19424.99,19424.99,19424.99,19424.99,0
2023-09-27,19514.61,19514.61,19514.61,19514.61,0
2023-09-28,19425.56,19425.56,19425.56,19425.56,0
2023-09-29,19568.93,19568.93,19568.93,19568.93,0
2023-10-03,19670.81,19670.81,19670.81,19670.81,0
