time,open,high,low,close,volume
2023-06-02,11146.33,11146.33,11146.33,11146.33,0
2023-06-05,11179.21,11179.21,11179.21,11179.21,0
2023-06-06,11206.59,11206.59,11206.59,11206.59,0
2023-06-07,11317.44,11317.44,11317.44,11317.44,0
2023-06-08,11252.18,11252.18,11252.18,11252.18,0
2023-06-09,11232.99,11232.99,11232.99,11232.99,0
2023-06-12,11288.64,11288.64,11288.64,11288.64,0
2023-06-13,11385.69,11385.69,11385.69,11385.69,0
2023-06-14,11415.08,11415.08,11415.08,11415.08,0
2023-06-15,11423.54,11423.54,11423.54,11423.54,0
2023-06-16,11510.46,11510.46,11510.46,11510.46,0
2023-06-19,11510.16,11510.16,11510.16,11510.16,0
2023-06-20,11556.25,11556.25,11556.25,11556.25,0
2023-06-21,11594.02,11594.02,11594.02,11594.02,0
2023-06-22,11511.39,11511.39,11511.39,11511.39,0
2023-06-23,11396.82,11396.82,11396.82,11396.82,0
2023-06-26,11463.09,11463.09,11463.09,11463.09,0
2023-06-27,11526.81,11526.81,11526.81,11526.81,0
2023-06-28,11583.07,11583.07,11583.07,11583.07,0
2023-06-30,11666.94,11666.94,11666.94,11666.94,0
2023-07-03,11734.27,11734.27,11734.27,11734.27,0
2023-07-04,11742.64,11742.64,11742.64,11742.64,0
2023-07-05,11794.92,11794.92,11794.92,11794.92,0
2023-07-06,11880.63,11880.63,11880.63,11880.63,0
2023-07-07,11806.2,11806.2,11806.2,11806.2,0
2023-07-10,11778.03,11778.03,11778.03,11778.03,0
2023-07-11,11864.0,11864.0,11864.0,11864.0,0
2023-07-12,11894.56,11894.56,11894.56,11894.56,0
2023-07-13,11846.12,11846.12,11846.12,11846.12,0
2023-07-14,11968.01,11968.01,11968.01,11968.01,0
2023-07-17,12041.24,12041.24,12041.24,12041.24,0
2023-07-18,12010.51,12010.51,12010.51,12010.51,0
2023-07-19,12080.87,12080.87,12080.87,12080.87,0
2023-07-20,12125.32,12125.32,12125.32,12125.32,0
2023-07-21,12086.12,12086.12,12086.12,12086.12,0
2023-07-24,12079.99,12079.99,12079.99,12079.99,0
2023-07-25,12107.06,12107.06,12107.06,12107.06,0
2023-07-26,12153.68,12153.68,12153.68,12153.68,0
2023-07-27,12147.09,12147.09,12147.09,12147.09,0
2023-07-28,12188.82,12188.82,12188.82,12188.82,0
2023-07-31,12299.11,12299.11,12299.11,12299.11,0
2023-08-01,12306.55,12306.55,12306.55,12306.55,0
2023-08-02,12158.44,12158.44,12158.44,12158.44,0
2023-08-03,12137.28,12137.28,12137.28,12137.28,0
2023-08-04,12220.33,12220.33,12220.33,12220.33,0
2023-08-07,12268.74,12268.74,12268.74,12268.74,0
2023-08-08,12280.95,12280.95,12280.95,12280.95,0
2023-08-09,12329.1,12329.1,12329.1,12329.1,0
2023-08-10,12299.28,12299.28,12299.28,12299.28,0
2023-08-11,12255.69,12255.69,12255.69,12255.69,0
2023-08-14,12212.54,12212.54,12212.54,12212.54,0
2023-08-16,12240.84,12240.84,12240.84,12240.84,0
2023-08-17,12241.61,12241.61,12241.61,12241.61,0
2023-08-18,12211.97,12211.97,12211.97,12211.97,0
2023-08-21,12297.39,12297.39,12297.39,12297.39,0
2023-08-22,12374.33,12374.33,12374.33,12374.33,0
2023-08-23,12427.66,12427.66,12427.66,12427.66,0
2023-08-24,12425.73,12425.73,12425.73,12425.73,0
2023-08-25,12357.62,12357.62,12357.62,12357.62,0
2023-08-28,12414.47,12414.47,12414.47,12414.47,0
2023-08-29,12469.19,12469.19,12469.19,12469.19,0
2023-08-30,12537.65,12537.65,12537.65,12537.65,0
2023-08-31,12573.51,12573.51,12573.51,12573.51,0
2023-09-01,12675.23,12675.23,12675.23,12675.23,0
2023-09-04,12777.75,12777.75,12777.75,12777.75,0
2023-09-05,12863.46,12863.46,12863.46,12863.46,0
2023-09-06,12876.62,12876.62,12876.62,12876.62,0
2023-09-07,12952.68,12952.68,12952.68,12952.68,0
2023-09-08,13041.73,13041.73,13041.73,13041.73,0
2023-09-11,13170.87,13170.87,13170.87,13170.87,0
2023-09-12,12845.98,12845.98,12845.98,12845.98,0
2023-09-13,12909.75,12909.75,12909.75,12909.75,0
2023-09-14,13014.47,13014.47,13014.47,13014.47,0
2023-09-15,13048.29,13048.29,13048.29,13048.29,0
2023-09-18,12999.55,12999.55,12999.55,12999.55,0
2023-09-20,12914.29,12914.29,12914.29,12914.29,0
2023-09-21,12794.64,12794.64,12794.64,12794.64,0
2023-09-22,12778.49,12778.49,12778.49,12778.49,0
2023-09-25,12803.88,12803.88,12803.88,12803.88,0
2023-09-26,12819.8,12819.8,12819.8,12819.8,0
2023-09-27,12894.97,12894.97,12894.97,12894.97,0
2023-09-28,12789.05,12789.05,12789.05,12789.05,0
2023-09-29,12888.89,12888.89,12888.89,12888.89,0
2023-10-03,12908.8,12908.8,12908.8,12908.8,0
2023-10-04,12778.82,12778.82,12778.82,12778.82,0
2023-10-05,12822.59,12822.59,12822.59,12822.59,0
2023-10-06,12898.77,12898.77,12898.77,12898.77,0
2023-10-09,12736.96,12736.96,12736.96,12736.96,0
2023-10-10,12878.33,12878.33,12878.33,12878.33,0
2023-10-11,12955.73,12955.73,12955.73,12955.73,0
2023-10-12,12995.22,12995.22,12995.22,12995.22,0
2023-10-13,12976.25,12976.25,12976.25,12976.25,0
2023-10-16,12995.03,12995.03,12995.03,12995.03,0
2023-10-17,13060.56,13060.56,13060.56,13060.56,0
2023-10-18,12980.46,12980.46,12980.46,12980.46,0
2023-10-19,12970.77,12970.77,12970.77,12970.77,0
2023-10-20,12874.09,12874.09,12874.09,12874.09,0
2023-10-23,12532.58,12532.58,12532.58,12532.58,0
2023-10-25,12447.04,12447.04,12447.04,12447.04,0
2023-10-26,12324.62,12324.62,12324.62,12324.62,0
2023-10-27,12511.07,12511.07,12511.07,12511.07,0
2023-10-30,12538.33,12538.33,12538.33,12538.33,0
