time,open,high,low,close,volume,Pct_Change,Benchmark_Pct_Change,RSC
2024-01-01,23312.13,23312.13,23312.13,23312.13,0,,,
2024-01-02,23281.67,23281.67,23281.67,23281.67,0,-0.13066159119738963,-0.3500154080370299,0.3733023981149032
2024-01-03,23272.63,23272.63,23272.63,23272.63,0,-0.03882882971881774,-0.6854120318658952,0.05665034740215185
2024-01-04,23434.55,23434.55,23434.55,23434.55,0,0.6957529080297231,0.6566809032731769,1.0594992249078583
2024-01-05,23442.09,23442.09,23442.09,23442.09,0,0.0321747163909647,0.2410128078453866,0.13349795257190344
2024-01-08,23185.52,23185.52,23185.52,23185.52,0,-1.0944843228568812,-0.911067302909152,1.201321043310473
2024-01-09,23257.17,23257.17,23257.17,23257.17,0,0.30902908366945425,0.14781759866127064,2.090610904711052
2024-01-10,23210.35,23210.35,23210.35,23210.35,0,-0.20131426136541508,0.34300620103226986,-0.5869114341360713
2024-01-11,23378.86,23378.86,23378.86,23378.86,0,0.7260123177806443,0.13183031357111297,5.507172805054529
2024-01-12,23553.6,23553.6,23553.6,23553.6,0,0.7474273766984174,1.1428729812631655,0.6539898912233624
2024-01-15,23676.55,23676.55,23676.55,23676.55,0,0.5220008830921774,0.9262557890986844,0.56356018416913
2024-01-16,23545.62,23545.62,23545.62,23545.62,0,-0.5529944185280411,-0.29460479513427895,1.877072022116917
2024-01-17,23267.71,23267.71,23267.71,23267.71,0,-1.1803044472814883,-2.089659272976485,0.5648310528635978
2024-01-18,23155.38,23155.38,23155.38,23155.38,0,-0.482772047614477,-0.5085319327458482,0.9493446065573913
2024-01-19,23461.34,23461.34,23461.34,23461.34,0,1.321334393993956,0.7464286047096813,1.7702086785753348
2024-01-20,23587.91,23587.91,23587.91,23587.91,0,0.5394832520222659,-0.23401657540329523,-2.305320685479398
2024-01-23,22887.34,22887.34,22887.34,22887.34,0,-2.970038464620217,-1.5436820293160514,1.9239962688016339
2024-01-24,23342.44,23342.44,23342.44,23342.44,0,1.9884355281129196,1.0127690829990543,1.9633651554850793
2024-01-25,23529.06,23529.06,23529.06,23529.06,0,0.7994879712660774,-0.4721752222206832,-1.6932018743084662
